category,topic,tier
Mythology,Djinn,deepcut
Mythology,Quetzalcoatl,deepcut
Mythology,Gilgamesh,deepcut
Mythology,Hydra (mythology),deepcut
Mythology,Pegasus,deepcut
Mythology,Wendigo,deepcut
Mythology,Baba Yaga,deepcut
Mythology,Yokai,deepcut
Mythology,Aztec mythology,deepcut
Mythology,Celtic mythology,deepcut
Mythology,Hindu mythology,deepcut
Geography,Mount Everest,mainstream
Geography,Amazon River,mainstream
Geography,Sahara,mainstream
Geography,Nile,mainstream
Geography,Great Barrier Reef,mainstream
Geography,Grand Canyon,mainstream
Geography,Antarctica,mainstream
Geography,Mariana Trench,mainstream
Geography,Himalayas,mainstream
Geography,Pacific Ocean,mainstream
Geography,Amazon rainforest,mainstream
Geography,Niagara Falls,mainstream
Geography,Dead Sea,mainstream
Geography,Mount Kilimanjaro,mainstream
Geography,Iceland,mainstream
Geography,Greenland,mainstream
Geography,Galápagos Islands,mainstream
Geography,Alps,mainstream
Geography,Andes,mainstream
Geography,Gobi Desert,mainstream
Geography,Yellowstone National Park,mainstream
Geography,Victoria Falls,mainstream
Geography,Atacama Desert,deepcut
Geography,Mount Vesuvius,mainstream
Geography,Lake Baikal,deepcut
Geography,Bermuda Triangle,mainstream
Geography,Ring of Fire,deepcut
Geography,Tropic of Cancer,deepcut
Geography,Equator,mainstream
Geography,Prime meridian,deepcut
Geography,Continental divide,deepcut
Geography,Tectonic plate,deepcut
Geography,Fjord,deepcut
Geography,Archipelago,deepcut
Geography,Isthmus,deepcut
Geography,Peninsula,deepcut
Geography,Tundra,deepcut
Geography,Savanna,deepcut
Geography,Steppe,deepcut
Geography,Oasis,deepcut
Geography,Salar de Uyuni,deepcut
Geography,Danakil Depression,deepcut
Geography,Socotra,deepcut
Geography,Mount Fuji,mainstream
Geography,Uluru,deepcut
Geography,Angel Falls,deepcut
Geography,Cappadocia,deepcut
Geography,Pamukkale,deepcut
Geography,Zhangjiajie National Forest Park,deepcut
Geography,Plitvice Lakes National Park,deepcut
Economics,Capitalism,mainstream
Economics,Socialism,mainstream
Economics,Communism,mainstream
Economics,Inflation,mainstream
Economics,Supply and demand,mainstream
Economics,Gross domestic product,mainstream
Economics,Stock market,mainstream
Economics,Free market,mainstream
Economics,Recession,mainstream
Economics,Interest,mainstream
Economics,Money,mainstream
Economics,Currency,mainstream
Economics,Tax,mainstream
Economics,Trade,mainstream
Economics,Globalization,mainstream
Economics,Unemployment,mainstream
Economics,Monopoly,mainstream
Economics,Bitcoin,mainstream
Economics,Federal Reserve,mainstream
Economics,Great Depression,mainstream
Economics,Adam Smith,mainstream
Economics,Karl Marx,mainstream
Economics,Keynesian economics,mainstream
Economics,Microeconomics,mainstream
Economics,Macroeconomics,mainstream
Economics,Opportunity cost,deepcut
Economics,Comparative advantage,deepcut
Economics,Invisible hand,deepcut
Economics,Game theory,deepcut
Economics,Behavioral economics,deepcut
Economics,Hyperinflation,deepcut
Economics,Stagflation,deepcut
Economics,Tragedy of the commons,deepcut
Economics,Moral hazard,deepcut
Economics,Externality,deepcut
Economics,Gini coefficient,deepcut
Economics,Universal basic income,deepcut
Economics,Cryptocurrency,deepcut
Economics,Tulip mania,deepcut
Economics,Bubble (economics),deepcut
Economics,Pareto principle,deepcut
Economics,Diminishing returns,deepcut
Economics,Gold standard,deepcut
Economics,Mercantilism,deepcut
Economics,Laissez-faire,deepcut
Economics,Veblen good,deepcut
Economics,Giffen good,deepcut
Economics,Black market,deepcut
Economics,Compound interest,deepcut
Economics,Quantitative easing,deepcut
Economics,Nash equilibrium,deepcut
Politics,Democracy,mainstream
Politics,Constitution,mainstream
Politics,Liberalism,mainstream
Politics,Conservatism,mainstream
Politics,Fascism,mainstream
Politics,Anarchism,mainstream
Politics,Monarchy,mainstream
Politics,Republic,mainstream
Politics,Dictatorship,mainstream
Politics,Federalism,mainstream
Politics,Separation of powers,mainstream
Politics,Human rights,mainstream
Politics,United Nations,mainstream
Politics,Election,mainstream
Politics,Propaganda,mainstream
Politics,Nationalism,mainstream
Politics,Diplomacy,mainstream
Politics,Sovereignty,mainstream
Politics,Suffrage,mainstream
Politics,Civil disobedience,mainstream
Politics,Totalitarianism,mainstream
Politics,Communism,mainstream
Politics,Magna Carta,mainstream
Politics,Geneva Conventions,mainstream
Politics,Social contract,deepcut
Politics,Gerrymandering,deepcut
Politics,Filibuster,deepcut
Politics,Realpolitik,deepcut
Politics,Soft power,deepcut
Politics,Balance of power (international relations),deepcut
Politics,Coup d'état,deepcut
Politics,Plutocracy,deepcut
Politics,Oligarchy,deepcut
Politics,Theocracy,deepcut
Politics,Technocracy,deepcut
Politics,Meritocracy,deepcut
Politics,Direct democracy,deepcut
Politics,Electoral College (United States),deepcut
Politics,Habeas corpus,deepcut
Politics,Universal Declaration of Human Rights,deepcut
Politics,Nonviolent resistance,deepcut
Politics,Welfare state,deepcut
Politics,Populism,deepcut
Politics,Cult of personality,deepcut
Politics,Manifest destiny,deepcut
Politics,Iron Curtain,deepcut
Politics,Détente,deepcut
Politics,Geopolitics,deepcut
Politics,Suffragette,deepcut
Politics,Magna Carta Libertatum,deepcut
Religion,Christianity,mainstream
Religion,Islam,mainstream
Religion,Judaism,mainstream
Religion,Hinduism,mainstream
Religion,Buddhism,mainstream
Religion,Sikhism,mainstream
Religion,Bible,mainstream
Religion,Quran,mainstream
Religion,Torah,mainstream
Religion,Jesus,mainstream
Religion,Muhammad,mainstream
Religion,Buddha,mainstream
Religion,God,mainstream
Religion,Prayer,mainstream
Religion,Heaven,mainstream
Religion,Hell,mainstream
Religion,Reincarnation,mainstream
Religion,Karma,mainstream
Religion,Meditation,mainstream
Religion,Pilgrimage,mainstream
Religion,Monotheism,mainstream
Religion,Polytheism,mainstream
Religion,Atheism,mainstream
Religion,Agnosticism,mainstream
Religion,Ten Commandments,mainstream
Religion,Crucifixion of Jesus,mainstream
Religion,Zoroastrianism,deepcut
Religion,Jainism,deepcut
Religion,Shinto,deepcut
Religion,Taoism,deepcut
Religion,Confucianism,deepcut
Religion,Gnosticism,deepcut
Religion,Sufism,deepcut
Religion,Kabbalah,deepcut
Religion,Mysticism,deepcut
Religion,Asceticism,deepcut
Religion,Nirvana,deepcut
Religion,Dharma,deepcut
Religion,Eschatology,deepcut
Religion,Apocalypse,deepcut
Religion,Messiah,deepcut
Religion,Original sin,deepcut
Religion,Predestination,deepcut
Religion,Animism,deepcut
Religion,Pantheism,deepcut
Religion,Deism,deepcut
Religion,Baháʼí Faith,deepcut
Religion,Dead Sea Scrolls,deepcut
Religion,Council of Nicaea,deepcut
Religion,Protestant Reformation,deepcut
Religion,Tao Te Ching,deepcut
Linguistics,Language,mainstream
Linguistics,Grammar,mainstream
Linguistics,Alphabet,mainstream
Linguistics,Writing system,mainstream
Linguistics,Phonetics,mainstream
Linguistics,Syntax,mainstream
Linguistics,Semantics,mainstream
Linguistics,Etymology,mainstream
Linguistics,Latin,mainstream
Linguistics,Ancient Greek,mainstream
Linguistics,Sanskrit,mainstream
Linguistics,Esperanto,mainstream
Linguistics,Sign language,mainstream
Linguistics,Dialect,mainstream
Linguistics,Translation,mainstream
Linguistics,Hieroglyph,mainstream
Linguistics,Cuneiform,mainstream
Linguistics,Indo-European languages,mainstream
Linguistics,Proto-Indo-European language,deepcut
Linguistics,Linguistic relativity,deepcut
Linguistics,Phoneme,deepcut
Linguistics,Morpheme,deepcut
Linguistics,Lingua franca,deepcut
Linguistics,Creole language,deepcut
Linguistics,Pidgin,deepcut
Linguistics,Loanword,deepcut
Linguistics,Onomatopoeia,deepcut
Linguistics,Palindrome,deepcut
Linguistics,Vowel,deepcut
Linguistics,Consonant,deepcut
Linguistics,International Phonetic Alphabet,deepcut
Linguistics,Language family,deepcut
Linguistics,Language death,deepcut
Linguistics,Endangered language,deepcut
Linguistics,Logogram,deepcut
Linguistics,Rosetta Stone,deepcut
Linguistics,Linear B,deepcut
Linguistics,Voynich manuscript,deepcut
Linguistics,Click consonant,deepcut
Linguistics,Whistled language,deepcut
Linguistics,Sapir–Whorf hypothesis,deepcut
Linguistics,Universal grammar,deepcut
Linguistics,Noam Chomsky,mainstream
Linguistics,Semiotics,deepcut
Linguistics,Idiom,deepcut
Linguistics,Metaphor,mainstream
Linguistics,Runes,deepcut
Linguistics,Braille,mainstream
Linguistics,Morse code,mainstream
Architecture,Pyramid,mainstream
Architecture,Colosseum,mainstream
Architecture,Great Wall of China,mainstream
Architecture,Eiffel Tower,mainstream
Architecture,Taj Mahal,mainstream
Architecture,Gothic architecture,mainstream
Architecture,Parthenon,mainstream
Architecture,Stonehenge,mainstream
Architecture,Machu Picchu,mainstream
Architecture,Petra,mainstream
Architecture,Notre-Dame de Paris,mainstream
Architecture,Sagrada Família,mainstream
Architecture,Sydney Opera House,mainstream
Architecture,Hagia Sophia,mainstream
Architecture,Pantheon Rome,deepcut
Architecture,Skyscraper,mainstream
Architecture,Dome,mainstream
Architecture,Arch,mainstream
Architecture,Aqueduct,mainstream
Architecture,Baroque architecture,deepcut
Architecture,Romanesque architecture,deepcut
Architecture,Brutalist architecture,deepcut
Architecture,Art Deco architecture,deepcut
Architecture,Modern architecture,deepcut
Architecture,Bauhaus,deepcut
Architecture,Frank Lloyd Wright,mainstream
Architecture,Le Corbusier,deepcut
Architecture,Antoni Gaudí,mainstream
Architecture,Flying buttress,deepcut
Architecture,Buttress,deepcut
Architecture,Vault (architecture),deepcut
Architecture,Cathedral,mainstream
Architecture,Ziggurat,deepcut
Architecture,Pagoda,deepcut
Architecture,Minaret,deepcut
Architecture,Feng shui,deepcut
Architecture,Vitruvius,deepcut
Architecture,Golden ratio,deepcut
Architecture,Burj Khalifa,mainstream
Architecture,Angkor Wat,mainstream
Architecture,Chichen Itza,mainstream
Architecture,Fallingwater,deepcut
Architecture,Guggenheim Museum Bilbao,deepcut
Architecture,Cologne Cathedral,deepcut
Architecture,Palace of Versailles,mainstream
Architecture,Forbidden City,mainstream
Architecture,Alhambra,deepcut
Architecture,Neuschwanstein Castle,deepcut
Architecture,Tikal,deepcut
Architecture,Borobudur,deepcut
Film,Citizen Kane,mainstream
Film,The Godfather,mainstream
Film,Star Wars,mainstream
Film,Casablanca (film),mainstream
Film,Alfred Hitchcock,mainstream
Film,Stanley Kubrick,mainstream
Film,Steven Spielberg,mainstream
Film,Akira Kurosawa,mainstream
Film,Charlie Chaplin,mainstream
Film,Walt Disney,mainstream
Film,Animation,mainstream
Film,Documentary film,mainstream
Film,Film noir,mainstream
Film,Silent film,mainstream
Film,Cinematography,mainstream
Film,Special effect,mainstream
Film,Academy Awards,mainstream
Film,Hollywood,mainstream
Film,Bollywood,mainstream
Film,Pixar,mainstream
Film,Studio Ghibli,mainstream
Film,Hayao Miyazaki,mainstream
Film,2001: A Space Odyssey,mainstream
Film,Psycho (1960 film),mainstream
Film,Jaws (film),mainstream
Film,Blade Runner,mainstream
Film,Pulp Fiction,mainstream
Film,The Matrix,mainstream
Film,Spaghetti Western,deepcut
Film,German Expressionism,deepcut
Film,French New Wave,deepcut
Film,Italian neorealism,deepcut
Film,Auteur theory,deepcut
Film,Montage,deepcut
Film,Mise-en-scène,deepcut
Film,Long take,deepcut
Film,Match cut,deepcut
Film,Practical effect,deepcut
Film,Stop motion,deepcut
Film,Rotoscoping,deepcut
Film,Method acting,deepcut
Film,MacGuffin,deepcut
Film,Technicolor,deepcut
Film,IMAX,deepcut
Film,Nosferatu,deepcut
Film,Metropolis (1927 film),deepcut
Film,Seven Samurai,deepcut
Film,The Cabinet of Dr. Caligari,deepcut
Film,Orson Welles,deepcut
Film,Alfred Hitchcock filmography,deepcut
Film,Federico Fellini,deepcut
Sports,Association football,mainstream
Sports,Basketball,mainstream
Sports,Baseball,mainstream
Sports,Tennis,mainstream
Sports,Olympic Games,mainstream
Sports,FIFA World Cup,mainstream
Sports,Cricket,mainstream
Sports,Golf,mainstream
Sports,Boxing,mainstream
Sports,American football,mainstream
Sports,Ice hockey,mainstream
Sports,Rugby football,mainstream
Sports,Swimming (sport),mainstream
Sports,Marathon,mainstream
Sports,Cycling,mainstream
Sports,Formula One,mainstream
Sports,Chess,mainstream
Sports,Martial arts,mainstream
Sports,Gymnastics,mainstream
Sports,Skiing,mainstream
Sports,Surfing,mainstream
Sports,Volleyball,mainstream
Sports,Table tennis,mainstream
Sports,Wrestling,mainstream
Sports,Muhammad Ali,mainstream
Sports,Pelé,mainstream
Sports,Michael Jordan,mainstream
Sports,Usain Bolt,mainstream
Sports,Serena Williams,mainstream
Sports,Ancient Olympic Games,deepcut
Sports,Tour de France,mainstream
Sports,Wimbledon Championships,mainstream
Sports,Super Bowl,mainstream
Sports,Sumo,deepcut
Sports,Judo,deepcut
Sports,Fencing,deepcut
Sports,Archery,deepcut
Sports,Rowing (sport),deepcut
Sports,Decathlon,deepcut
Sports,Pentathlon,deepcut
Sports,Parkour,deepcut
Sports,Rock climbing,deepcut
Sports,Triathlon,deepcut
Sports,Cross-country skiing,deepcut
Sports,Curling,deepcut
Sports,Capoeira,deepcut
Sports,Muay Thai,deepcut
Sports,Jujutsu,deepcut
Sports,Kabaddi,deepcut
Sports,Sepak takraw,deepcut
Sports,Hurling,deepcut
Sports,Lacrosse,deepcut
Sports,Calcio Fiorentino,deepcut
